DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-07-17,116.7,121.5,115.26,115.81,3801036,41.0
2025-07-18,116.9,117.3,112.21,113.34,762157,56.14
2025-07-21,113.5,115.5,111.1,112.37,1105853,43.28
2025-07-22,113.5,122.0,111.54,116.51,3170057,47.69
2025-07-23,118.49,119.5,115.7,117.61,991094,50.83
2025-07-24,118.0,119.04,113.25,114.04,960677,56.19
2025-07-25,113.0,113.0,107.05,107.53,1562371,51.16
2025-07-28,107.55,109.62,105.11,105.96,461308,45.95
2025-07-29,106.0,108.83,105.22,108.25,267416,43.95
2025-07-30,109.0,112.79,107.1,111.86,559452,46.57
2025-07-31,109.03,112.2,108.92,109.57,400911,55.97
2025-08-01,110.0,112.0,109.01,110.93,697715,62.27
2025-08-04,111.89,111.99,106.11,107.27,442316,50.47
2025-08-05,106.55,108.19,103.9,104.06,356582,55.94
2025-08-06,106.0,106.0,100.99,102.95,225225,44.27
2025-08-07,101.61,104.87,101.12,104.01,637110,78.25
2025-08-08,105.0,105.99,102.71,104.87,548300,63.65
2025-08-11,105.0,107.47,103.41,106.46,256215,56.2
2025-08-12,106.9,107.99,105.32,105.8,158650,69.62
2025-08-13,105.55,108.99,105.24,106.32,654221,42.58
2025-08-14,106.1,106.61,97.99,98.89,526843,61.81
2025-08-18,100.0,110.99,100.0,109.14,2088949,53.22
2025-08-19,109.3,111.0,107.81,109.36,655378,49.63
2025-08-20,108.55,113.99,108.55,111.19,909322,48.86
2025-08-21,111.98,112.48,108.5,109.2,238704,46.41
2025-08-22,110.89,117.5,110.29,115.03,1820909,47.42
2025-08-25,115.65,117.3,113.1,113.64,428190,53.19
2025-08-26,114.0,114.21,107.5,108.64,509685,63.62
2025-08-28,110.25,110.25,104.71,106.78,366259,47.52
2025-08-29,107.85,107.85,105.02,105.57,173633,47.76
2025-09-01,106.3,107.56,103.1,104.65,223104,50.96
2025-09-02,106.9,109.0,104.83,105.16,313092,59.83
2025-09-03,105.69,107.79,105.51,106.98,245835,65.62
2025-09-04,107.0,117.0,105.41,112.92,2275886,39.86
2025-09-05,112.92,115.49,110.1,110.61,542242,51.52
2025-09-08,110.65,118.99,110.65,115.33,1968820,36.77
2025-09-09,116.4,116.79,111.5,112.65,613976,53.53
2025-09-10,113.5,117.2,111.2,112.37,1072074,37.54
2025-09-11,112.98,114.3,111.0,111.26,366568,47.7
2025-09-12,111.98,112.74,108.52,111.91,490818,45.0
2025-09-15,112.8,114.8,110.51,111.05,475993,40.77
2025-09-16,111.8,112.8,110.26,110.78,294365,51.96
2025-09-17,111.9,112.9,107.4,108.3,582380,51.1
2025-09-18,109.0,109.0,105.7,106.63,303550,62.6
2025-09-19,106.6,108.24,106.3,107.43,313099,56.3
2025-09-22,107.43,111.89,106.84,108.55,637993,46.41
2025-09-23,109.4,110.73,107.73,108.6,279449,39.94
2025-09-24,108.6,110.34,105.1,105.83,342077,52.8
2025-09-25,106.25,106.66,105.0,105.17,208260,64.17
