DATE,CLOSE,OPEN,HIGH,LOW
2026-07-06,23433.95,,,
2026-07-07,23368.85,,,
2026-07-08,22908.05,,,
2026-07-09,23081.15,,,
2026-07-10,23348.4,,,
2026-07-13,23347.05,,,
2026-07-14,23199.45,,,
2026-07-15,23263.9,,,
2026-07-16,23232.65,,,
2026-07-17,23336.3,23272.3,23357.9,23235.05
2026-07-20,23338.05,23244.3,23363.3,23219.45
2026-07-21,23352.15,23340.7,23383.1,23286.15
2026-07-22,23145.05,23334.3,23335.6,23118.05
2026-07-23,22982.4,23069.1,23148.9,22937.75
2026-07-24,22913.3,22805.55,22956.95,22713.5
2026-07-27,23153.1,23070.6,23160.6,23061.35
2026-07-28,23114.9,23146.65,23172.1,23087.1
2026-07-29,23352.6,23261.05,23377.8,23233.4
2026-07-30,23353.55,23347.2,23384.65,23274.15
2026-07-31,23460.7,23409.85,23506.55,23375.55
