DATE,CLOSE,OPEN,HIGH,LOW
2026-07-06,58291.5,,,
2026-07-07,58200.7,,,
2026-07-08,56742.6,,,
2026-07-09,57252.45,,,
2026-07-10,58045.9,,,
2026-07-13,58131.45,,,
2026-07-14,57462.3,,,
2026-07-15,57757.85,,,
2026-07-16,57582.25,,,
2026-07-17,58521.4,57662.0,58596.85,57542.15
2026-07-20,57945.0,57738.25,58111.0,57533.1
2026-07-21,57835.35,57853.75,58228.65,57803.85
2026-07-22,57126.8,57768.4,57824.0,56970.6
2026-07-23,56592.0,56796.95,56930.15,56374.75
2026-07-24,56693.5,56169.4,56831.45,56023.6
2026-07-27,57087.2,57116.8,57330.05,56928.65
2026-07-28,56755.6,56883.55,57054.2,56672.4
2026-07-29,57205.9,57126.6,57315.95,56939.35
2026-07-30,57147.5,57127.05,57236.65,56768.6
2026-07-31,57264.85,57225.9,57411.25,57139.6
2026-08-03,58247.95,57569.6,58247.95,57465.95
2026-08-04,57907.2,58068.95,58068.95,57352.65
2026-08-05,57739.95,57810.05,57931.85,57456.35
2026-08-07,57746.45,57882.0,57994.45,57686.55
2026-08-10,57686.95,57812.3,58015.85,57527.75
2026-08-11,57446.25,57604.35,57607.25,57158.1
2026-08-12,57885.85,57391.8,57885.85,57254.0
2026-08-13,57635.25,57799.15,57799.15,57548.6
2026-08-14,57491.1,57589.75,57681.45,57380.45
2026-08-17,57497.8,57418.3,57757.25,57119.6
2026-08-18,57262.4,57325.55,57584.7,57217.6
2026-08-19,57239.75,57260.65,57356.85,57001.75
