DATE,CLOSE,OPEN,HIGH,LOW
2026-07-06,16481.35,,,
2026-07-07,16343.9,,,
2026-07-08,16145.75,,,
2026-07-09,16307.25,,,
2026-07-10,16337.8,,,
2026-07-13,16295.9,,,
2026-07-14,16441.45,,,
2026-07-15,16507.8,,,
2026-07-16,16493.75,,,
2026-07-17,16282.9,16478.15,16486.85,16233.1
2026-07-20,16489.75,16308.4,16562.75,16280.75
2026-07-21,16547.5,16494.4,16555.85,16430.6
2026-07-22,16350.95,16457.5,16457.5,16244.2
2026-07-23,16295.65,16216.8,16359.25,16194.75
2026-07-24,16236.25,16176.75,16308.85,16173.5
2026-07-27,16472.65,16298.95,16487.45,16261.25
2026-07-28,16497.7,16503.65,16549.85,16425.35
2026-07-29,16696.3,16540.2,16722.8,16518.75
2026-07-30,16699.65,16718.05,16784.75,16679.6
2026-07-31,16755.5,16786.35,16875.35,16684.75
2026-08-03,16783.35,16905.8,16921.05,16621.95
2026-08-04,16746.7,16736.8,16748.65,16631.25
2026-08-05,16709.9,16775.8,16775.8,16577.55
2026-08-07,16708.9,16681.7,16739.45,16622.3
2026-08-10,16650.95,16733.7,16824.7,16606.0
2026-08-11,16705.05,16648.3,16709.95,16519.75
2026-08-12,16632.35,16703.15,16716.0,16518.35
2026-08-13,16581.85,16621.95,16629.15,16528.7
2026-08-14,16505.3,16569.45,16588.2,16467.35
2026-08-17,16429.35,16543.75,16559.0,16424.1
2026-08-18,16463.7,16432.6,16546.0,16403.05
2026-08-19,16412.8,16459.85,16500.25,16363.25
2026-08-20,16465.15,16483.2,16496.1,16415.1
2026-08-21,16423.9,16487.3,16525.15,16319.75
2026-08-24,16418.0,16412.7,16448.05,16306.85
2026-08-25,16597.45,16410.4,16600.55,16335.0
2026-08-26,16586.65,16592.7,16689.9,16486.35
2026-08-27,16707.7,16626.75,16728.0,16579.9
2026-08-28,16798.5,16744.45,16818.5,16673.2
2026-08-31,16941.5,16806.7,16941.7,16638.05
2026-09-01,16669.85,16816.85,16816.85,16616.9
