DATE,CLOSE,OPEN,HIGH,LOW
2026-07-06,8333.95,,,
2026-07-07,8298.3,,,
2026-07-08,8072.3,,,
2026-07-09,8203.2,,,
2026-07-10,8451.6,,,
2026-07-13,8460.6,,,
2026-07-14,8307.9,,,
2026-07-15,8386.85,,,
2026-07-16,8347.9,,,
2026-07-17,8381.75,8352.45,8403.95,8321.95
2026-07-20,8615.1,8397.25,8643.5,8381.1
2026-07-21,8538.95,8603.1,8705.1,8530.8
2026-07-22,8381.8,8532.1,8532.1,8351.15
2026-07-23,8297.65,8359.05,8381.55,8267.6
2026-07-24,8345.65,8243.25,8367.25,8202.3
2026-07-27,8364.15,8388.45,8423.95,8339.5
2026-07-28,8284.2,8355.95,8366.7,8263.05
2026-07-29,8317.15,8318.05,8361.0,8299.95
2026-07-30,8327.65,8311.25,8343.6,8258.35
2026-07-31,8367.2,8359.1,8403.85,8334.4
2026-08-03,8486.7,8418.75,8534.95,8415.3
2026-08-04,8479.9,8499.8,8524.5,8429.9
2026-08-05,8541.3,8517.5,8597.85,8495.0
2026-08-07,8786.2,8702.6,8869.8,8672.2
2026-08-10,8639.8,8818.1,8856.8,8621.45
2026-08-11,8640.25,8645.45,8668.55,8557.4
2026-08-12,8817.5,8634.35,8832.8,8624.9
2026-08-13,8788.95,8817.65,8850.25,8750.85
2026-08-14,8738.8,8788.0,8800.85,8710.85
2026-08-17,8706.2,8714.75,8739.05,8597.45
2026-08-18,8618.5,8673.2,8744.95,8617.9
2026-08-19,8617.65,8621.0,8651.7,8579.9
2026-08-20,8616.65,8657.35,8678.4,8611.3
2026-08-21,8620.0,8631.5,8637.8,8564.8
2026-08-24,8539.75,8612.8,8630.75,8499.4
