DATE,CLOSE
2026-07-06,906.95
2026-07-07,892.6
2026-07-08,875.95
2026-07-09,906.95
2026-07-10,938.6
2026-07-13,937.15
2026-07-14,918.65
2026-07-15,915.15
2026-07-16,906.15
