DATE,CLOSE,OPEN,HIGH,LOW
2026-07-06,39481.45,,,
2026-07-07,39188.45,,,
2026-07-08,38695.65,,,
2026-07-09,38838.1,,,
2026-07-10,39242.05,,,
2026-07-13,39220.35,,,
2026-07-14,39203.15,,,
2026-07-15,39381.25,,,
2026-07-16,39345.8,,,
2026-07-17,39277.0,39418.6,39467.85,39180.6
2026-07-20,39663.45,39273.1,39734.8,39236.35
2026-07-21,39587.25,39710.35,39809.65,39492.5
2026-07-22,39435.65,39637.35,39700.2,39376.75
2026-07-23,39045.25,39337.75,39414.45,38967.8
2026-07-24,38821.8,38837.05,38967.05,38635.55
2026-07-27,38830.1,39038.85,39064.65,38761.15
2026-07-28,38174.8,38732.6,38732.6,38147.95
2026-07-29,38180.55,38272.25,38288.9,37968.25
2026-07-30,38313.55,38231.85,38359.8,38101.8
2026-07-31,38729.55,38407.05,38774.65,38346.4
2026-08-03,38937.0,38831.6,38940.6,38752.5
2026-08-04,38816.65,38992.65,39119.0,38710.85
2026-08-05,38830.05,39038.4,39056.45,38631.3
2026-08-07,38749.85,38676.7,38902.0,38611.45
2026-08-10,38748.15,38844.8,38847.85,38579.35
2026-08-11,38707.75,38834.8,38857.9,38580.95
2026-08-12,38776.9,38742.25,38784.35,38454.55
